/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_150.00_158.00.wav,Split,Start,End,Duration,Words,Lyric,chunk_path,has_lyrics
Dark Ride - Burning Bridges,Train,162,167,5,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_162.00_167.00.wav,False
Dark Ride - Burning Bridges,Train,167,173,6,1,oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_167.00_173.00.wav,True
Dark Ride - Burning Bridges,Train,173,182,9,2,oh oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_173.00_182.00.wav,True
Dark Ride - Burning Bridges,Train,182,193,11,11,oh and now i'm burning bridges fire in my soul burning,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_182.00_193.00.wav,True
Dark Ride - Burning Bridges,Train,192,197,5,5,burning bridges forget about control,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_192.00_197.00.wav,True
Dark Ride - Burning Bridges,Train,197,205,8,12,burn those witches i am the only one to burn the bridges,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_197.00_205.00.wav,True
Dark Ride - Burning Bridges,Train,205,216,11,3,i relied upon,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_205.00_216.00.wav,True
Dark Ride - Burning Bridges,Train,216,226,10,6,burning bridges burn those witches oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_216.00_226.00.wav,True
Dark Ride - Burning Bridges,Train,226,232,6,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dark Ride - Burning Bridges_226.00_232.00.wav,False
Dreamers Of The Ghetto - Heavy Love,Train,0,10,10,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_0.00_10.00.wav,False
Dreamers Of The Ghetto - Heavy Love,Train,10,15,5,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_10.00_15.00.wav,False
Dreamers Of The Ghetto - Heavy Love,Train,15,23,8,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_15.00_23.00.wav,False
Dreamers Of The Ghetto - Heavy Love,Train,23,30,7,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_23.00_30.00.wav,False
Dreamers Of The Ghetto - Heavy Love,Train,30,39,9,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_30.00_39.00.wav,False
Dreamers Of The Ghetto - Heavy Love,Train,39,46,7,4,i know your voice,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_39.00_46.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,46,53,7,9,i hear it from the depth of the voice,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_46.00_53.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,53,62,9,5,hu hu your leaf's frequency,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_53.00_62.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,62,69,7,6,heart transmit before you as near,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_62.00_69.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,69,77,8,5,hm i'd walk the wars,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_69.00_77.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,77,85,8,4,everything between us achee,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_77.00_85.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,85,92,7,7,do not be ashamed what you dream,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_85.00_92.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,92,97,5,7,dream when my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_92.00_97.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,97,101,4,6,when my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_97.00_101.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,101,110,9,10,when my love i'll be i'll be looking out for,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_101.00_110.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,110,119,9,8,looking out for you looking out for you,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_110.00_119.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,119,126,7,7,i'll be i'll be looking out for,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_119.00_126.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,126,135,9,8,looking out for you looking out for you,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_126.00_135.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,135,141,6,8,i'll be when my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_135.00_141.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,141,150,9,12,when my love gets heavy babe when my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_141.00_150.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,150,158,8,5,when my love gets heavy,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_150.00_158.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,158,166,8,10,i can hold it up as long as you come,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_158.00_166.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,165,173,8,6,holing out the only only one,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_165.00_173.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,173,183,10,9,you raise the lines between fear and fun aha,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_173.00_183.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,183,193,10,10,give up your love cause my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_183.00_193.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,193,197,4,6,yeah my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_193.00_197.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,197,206,9,10,when my love i'll be i'll be looking out for,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_197.00_206.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,206,215,9,8,looking out for you looking out for you,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_206.00_215.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,215,222,7,7,i'll be i'll be looking out for,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_215.00_222.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,222,231,9,8,looking out for you looking out for you,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_222.00_231.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,231,238,7,7,i'll be i'll be looking out for,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_231.00_238.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,238,247,9,8,looking out for you looking out for you,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_238.00_247.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,247,254,7,7,i'll be i'll be looking out for,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_247.00_254.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,254,263,9,8,looking out for you looking out for you,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_254.00_263.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,263,269,6,8,i'll be when my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_263.00_269.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,269,273,4,6,cause my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_269.00_273.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,273,281,8,11,when my love gets heavy babe my love gets heavy babe,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_273.00_281.00.wav,True
Dreamers Of The Ghetto - Heavy Love,Train,281,288,7,5,when my love my love,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Dreamers Of The Ghetto - Heavy Love_281.00_288.00.wav,True
Drumtracks - Ghost Bitch,Train,0,10,10,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_0.00_10.00.wav,False
Drumtracks - Ghost Bitch,Train,10,16,6,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_10.00_16.00.wav,False
Drumtracks - Ghost Bitch,Train,16,23,7,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_16.00_23.00.wav,False
Drumtracks - Ghost Bitch,Train,23,30,7,1,uh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_23.00_30.00.wav,True
Drumtracks - Ghost Bitch,Train,29,35,6,1,uh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_29.00_35.00.wav,True
Drumtracks - Ghost Bitch,Train,35,42,7,1,uh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_35.00_42.00.wav,True
Drumtracks - Ghost Bitch,Train,42,48,6,1,uh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_42.00_48.00.wav,True
Drumtracks - Ghost Bitch,Train,47,53,6,8,did you hear it's rambling next to me,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_47.00_53.00.wav,True
Drumtracks - Ghost Bitch,Train,53,60,7,9,slowly and viscous it flows along your custardy at,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_53.00_60.00.wav,True
Drumtracks - Ghost Bitch,Train,59,65,6,9,at night it becomes visible strange matter flying around,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_59.00_65.00.wav,True
Drumtracks - Ghost Bitch,Train,65,71,6,10,feel the touch over ten feel its cold and sorrow,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_65.00_71.00.wav,True
Drumtracks - Ghost Bitch,Train,71,80,9,4,everyone else tries to,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_71.00_80.00.wav,True
Drumtracks - Ghost Bitch,Train,79,84,5,3,to take care,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_79.00_84.00.wav,True
Drumtracks - Ghost Bitch,Train,83,92,9,4,everyone else tries to,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_83.00_92.00.wav,True
Drumtracks - Ghost Bitch,Train,91,102,11,13,to take care it's a ghost like a witch eaten up our hate,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_91.00_102.00.wav,True
Drumtracks - Ghost Bitch,Train,101,111,10,14,can't defy its faith it's a ghost bitch it's a ghost like a witch,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_101.00_111.00.wav,True
Drumtracks - Ghost Bitch,Train,110,121,11,12,eaten up our hate can't defy its faith it's a ghost bitch,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_110.00_121.00.wav,True
Drumtracks - Ghost Bitch,Train,120,125,5,4,all what we fear,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_120.00_125.00.wav,True
Drumtracks - Ghost Bitch,Train,125,132,7,7,my stomach turned to ice it's a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_125.00_132.00.wav,True
Drumtracks - Ghost Bitch,Train,131,138,7,5,it's ice staving in disbelieve,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_131.00_138.00.wav,True
Drumtracks - Ghost Bitch,Train,138,144,6,5,caught up in all eternity,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_138.00_144.00.wav,True
Drumtracks - Ghost Bitch,Train,143,149,6,4,all what we fear,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_143.00_149.00.wav,True
Drumtracks - Ghost Bitch,Train,149,156,7,7,my stomach turned to ice it's a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_149.00_156.00.wav,True
Drumtracks - Ghost Bitch,Train,155,163,8,5,it's ice staving in disbelieve,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_155.00_163.00.wav,True
Drumtracks - Ghost Bitch,Train,164,173,9,9,we're sliding into silence haven't i hasn't anyone seen,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_164.00_173.00.wav,True
Drumtracks - Ghost Bitch,Train,173,179,6,12,the way she walks how she looks how she talks to me,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_173.00_179.00.wav,True
Drumtracks - Ghost Bitch,Train,179,185,6,8,every night the born its light keeps shining,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_179.00_185.00.wav,True
Drumtracks - Ghost Bitch,Train,185,191,6,9,suddenly she stands in front of them behind me,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_185.00_191.00.wav,True
Drumtracks - Ghost Bitch,Train,191,200,9,4,everyone else tries to,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_191.00_200.00.wav,True
Drumtracks - Ghost Bitch,Train,199,204,5,3,to take care,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_199.00_204.00.wav,True
Drumtracks - Ghost Bitch,Train,203,210,7,2,everyone else,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_203.00_210.00.wav,True
Drumtracks - Ghost Bitch,Train,209,215,6,4,tries to take care,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_209.00_215.00.wav,True
Drumtracks - Ghost Bitch,Train,215,222,7,10,she's a ghost like a witch eaten up our hate,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_215.00_222.00.wav,True
Drumtracks - Ghost Bitch,Train,221,227,6,8,can't defy her fail she's a ghost bitch,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_221.00_227.00.wav,True
Drumtracks - Ghost Bitch,Train,227,234,7,10,she's a ghost like a witch eaten up our hate,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_227.00_234.00.wav,True
Drumtracks - Ghost Bitch,Train,233,241,8,8,can't defy her faith she's a ghost bitch,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_233.00_241.00.wav,True
Drumtracks - Ghost Bitch,Train,240,245,5,4,oh while we fear,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_240.00_245.00.wav,True
Drumtracks - Ghost Bitch,Train,245,252,7,7,my stomach turned to ice it's a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_245.00_252.00.wav,True
Drumtracks - Ghost Bitch,Train,251,258,7,5,it's ice staving in disbelieve,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_251.00_258.00.wav,True
Drumtracks - Ghost Bitch,Train,258,264,6,5,caught up in all eternity,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_258.00_264.00.wav,True
Drumtracks - Ghost Bitch,Train,263,269,6,4,oh while we fear,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_263.00_269.00.wav,True
Drumtracks - Ghost Bitch,Train,268,276,8,7,my stomach turned to ice it's a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_268.00_276.00.wav,True
Drumtracks - Ghost Bitch,Train,275,283,8,5,it's ice staving in disbelieve,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_275.00_283.00.wav,True
Drumtracks - Ghost Bitch,Train,283,288,5,4,we're sliding into silence,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_283.00_288.00.wav,True
Drumtracks - Ghost Bitch,Train,288,294,6,4,oh while we fear,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_288.00_294.00.wav,True
Drumtracks - Ghost Bitch,Train,294,300,6,5,my stomach turned to ice,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_294.00_300.00.wav,True
Drumtracks - Ghost Bitch,Train,300,307,7,5,it's ice staving in disbelieve,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_300.00_307.00.wav,True
Drumtracks - Ghost Bitch,Train,306,312,6,5,caught up in all eternity,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_306.00_312.00.wav,True
Drumtracks - Ghost Bitch,Train,311,318,7,4,oh while we fear,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_311.00_318.00.wav,True
Drumtracks - Ghost Bitch,Train,317,325,8,7,my stomach turned to ice it's i,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_317.00_325.00.wav,True
Drumtracks - Ghost Bitch,Train,324,332,8,5,it's ice staving in disbelieve,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_324.00_332.00.wav,True
Drumtracks - Ghost Bitch,Train,332,339,7,4,we're sliding into silence,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_332.00_339.00.wav,True
Drumtracks - Ghost Bitch,Train,339,349,10,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Drumtracks - Ghost Bitch_339.00_349.00.wav,False
Faces On Film - Waiting For Ga,Train,0,10,10,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_0.00_10.00.wav,False
Faces On Film - Waiting For Ga,Train,10,17,7,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_10.00_17.00.wav,False
Faces On Film - Waiting For Ga,Train,17,23,6,6,waiting for g a the day,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_17.00_23.00.wav,True
Faces On Film - Waiting For Ga,Train,23,30,7,6,like many men i can behave,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_23.00_30.00.wav,True
Faces On Film - Waiting For Ga,Train,36,41,5,6,cold but not without a home,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_36.00_41.00.wav,True
Faces On Film - Waiting For Ga,Train,41,47,6,1,wee,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_41.00_47.00.wav,True
Faces On Film - Waiting For Ga,Train,47,53,6,1,wuhm,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_47.00_53.00.wav,True
Faces On Film - Waiting For Ga,Train,53,59,6,1,wuhm,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_53.00_59.00.wav,True
Faces On Film - Waiting For Ga,Train,59,66,7,1,wee,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_59.00_66.00.wav,True
Faces On Film - Waiting For Ga,Train,65,72,7,6,so preach from that mountain's loak,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_65.00_72.00.wav,True
Faces On Film - Waiting For Ga,Train,72,78,6,6,i'll be on the path below,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_72.00_78.00.wav,True
Faces On Film - Waiting For Ga,Train,78,88,10,10,but my body stays with g a that's the quietest,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_78.00_88.00.wav,True
Faces On Film - Waiting For Ga,Train,88,96,8,2,plane wee,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_88.00_96.00.wav,True
Faces On Film - Waiting For Ga,Train,96,102,6,1,weeum,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_96.00_102.00.wav,True
Faces On Film - Waiting For Ga,Train,102,108,6,1,wuhm,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_102.00_108.00.wav,True
Faces On Film - Waiting For Ga,Train,108,115,7,1,wuhm,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_108.00_115.00.wav,True
Faces On Film - Waiting For Ga,Train,115,122,7,3,uh uh uh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_115.00_122.00.wav,True
Faces On Film - Waiting For Ga,Train,122,128,6,2,uh uh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_122.00_128.00.wav,True
Faces On Film - Waiting For Ga,Train,128,134,6,2,uh uh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_128.00_134.00.wav,True
Faces On Film - Waiting For Ga,Train,134,139,5,2,uh uh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_134.00_139.00.wav,True
Faces On Film - Waiting For Ga,Train,148,154,6,8,but not without a home and my body,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_148.00_154.00.wav,True
Faces On Film - Waiting For Ga,Train,154,158,4,5,stays with g a that,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_154.00_158.00.wav,True
Faces On Film - Waiting For Ga,Train,157,162,5,4,that's the quietest play,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_157.00_162.00.wav,True
Faces On Film - Waiting For Ga,Train,161,171,10,2,plane ha,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_161.00_171.00.wav,True
Faces On Film - Waiting For Ga,Train,170,177,7,2,ha oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Faces On Film - Waiting For Ga_170.00_177.00.wav,True
