Song,Start,End,Duration,Lyric,Lyric_clean,Prediction,Prediction_clean,WER,CER,Words
Creepoid - OldTree,196.0,207.0,11.0,,,,,0.0,0.0,1
Creepoid - OldTree,207.0,215.0,8.0,,,,,0.0,0.0,1
Creepoid - OldTree,215.0,220.0,5.0,,,,,0.0,0.0,1
Creepoid - OldTree,220.0,228.0,8.0,,,,,0.0,0.0,1
Creepoid - OldTree,228.0,237.0,9.0,,,,,0.0,0.0,1
Creepoid - OldTree,237.0,245.0,8.0,but i know why,but i know why, But I know I,but i know i,0.25,0.21428571428571427,4
Creepoid - OldTree,244.0,252.0,8.0,but i know why but,but i know why but,,,1.0,1.0,5
Creepoid - OldTree,251.0,257.0,6.0,but i know why,but i know why, But I know I,but i know i,0.25,0.21428571428571427,4
Creepoid - OldTree,257.0,266.0,9.0,but i know why,but i know why, But I know I,but i know i,0.25,0.21428571428571427,4
Creepoid - OldTree,266.0,277.0,11.0,,, you,you,1.0,3.0,1
Creepoid - OldTree,278.0,285.0,7.0,uh uh uh uh,uh uh uh uh, DUM DUM DUM DUM DUM,dum dum dum dum dum,1.25,1.0909090909090908,4
Creepoid - OldTree,285.0,294.0,9.0,uh uh,uh uh,,,1.0,1.0,2
Creepoid - OldTree,294.0,300.0,6.0,,, Thank you.,thank you,2.0,9.0,1
Dark Ride - Burning Bridges,0.0,7.0,7.0,,, you,you,1.0,3.0,1
Dark Ride - Burning Bridges,7.0,15.0,8.0,,, you,you,1.0,3.0,1
Dark Ride - Burning Bridges,15.0,26.0,11.0,mh never more will i fall for anything but the good inside of me,mh never more will i fall for anything but the good inside of me," Mmm, nevermore will I fall for anything but the guilt inside of me.",mmm nevermore will i fall for anything but the guilt inside of me,0.2857142857142857,0.109375,14
Dark Ride - Burning Bridges,26.0,36.0,10.0,i wont beg i wont crawl time after time,i wont beg i wont crawl time after time," I won't beg, I won't crawl, time after time.",i wont beg i wont crawl time after time,0.0,0.0,9
Dark Ride - Burning Bridges,36.0,46.0,10.0,burning bridges fire in my soul burning bridges forget about control,burning bridges fire in my soul burning bridges forget about control," Burning bridges firing my soul Burning bridges, forget about control",burning bridges firing my soul burning bridges forget about control,0.18181818181818182,0.04411764705882353,11
Dark Ride - Burning Bridges,46.0,57.0,11.0,burn those witches i am the only one to burn the bridges i relied upon,burn those witches i am the only one to burn the bridges i relied upon," And those witches, I am the only one You bear the bridges I relied upon",and those witches i am the only one you bear the bridges i relied upon,0.2,0.12857142857142856,15
Dark Ride - Burning Bridges,57.0,63.0,6.0,,,,,0.0,0.0,1
Dark Ride - Burning Bridges,63.0,74.0,11.0,oh no more strain no more pain i recall it was the should i could not see,oh no more strain no more pain i recall it was the should i could not see," Oh no more strain, no more pain I recall to us the should I could not see.",oh no more strain no more pain i recall to us the should i could not see,0.11764705882352941,0.0547945205479452,17
Dark Ride - Burning Bridges,74.0,84.0,10.0,yesterday so far away will face my today,yesterday so far away will face my today, Yesterday So far away Will face my today,yesterday so far away will face my today,0.0,0.0,8
Dark Ride - Burning Bridges,84.0,89.0,5.0,i must confess theres something wrong with nine to five,i must confess theres something wrong with nine to five," I must confess, there's something wrong with 9-5.",i must confess theres something wrong with 95,0.3,0.21818181818181817,10
Dark Ride - Burning Bridges,89.0,97.0,8.0,im aching deep inside my heart i cant get up or go to bad this feelings driving me insane,im aching deep inside my heart i cant get up or go to bad this feelings driving me insane," They can't deep inside my heart I can't get out, I'm gonna go to bed This feeling's driving me insane Trust me, I can't",they cant deep inside my heart i cant get out im gonna go to bed this feelings driving me insane trust me i cant,0.5263157894736842,0.38202247191011235,19
Dark Ride - Burning Bridges,96.0,104.0,8.0,just like a needle to the brain oh god what happened on the way im in a trap led far astray i,just like a needle to the brain oh god what happened on the way im in a trap led far astray i," Trust your creed, don't kill the brain So don't worry, I'm not my way I'll get a track if I'm free",trust your creed dont kill the brain so dont worry im not my way ill get a track if im free,0.8181818181818182,0.6344086021505376,22
Dark Ride - Burning Bridges,103.0,110.0,7.0,i am not me,i am not me, I KILLED THEM!,i killed them,0.75,0.8181818181818182,4
Dark Ride - Burning Bridges,110.0,120.0,10.0,burning bridges fire in my soul burning bridges forget about control,burning bridges fire in my soul burning bridges forget about control, Burning bridges firing my soul Burning bridges forget about control,burning bridges firing my soul burning bridges forget about control,0.18181818181818182,0.04411764705882353,11
Dark Ride - Burning Bridges,120.0,127.0,7.0,burn those witches i am the only one,burn those witches i am the only one," And those witches, I am the only one",and those witches i am the only one,0.125,0.1111111111111111,8
Dark Ride - Burning Bridges,127.0,132.0,5.0,burn the bridges i relied upon,burn the bridges i relied upon, Bear the bridges I relied upon,bear the bridges i relied upon,0.16666666666666666,0.1,6
Dark Ride - Burning Bridges,132.0,139.0,7.0,,,,,0.0,0.0,1
Dark Ride - Burning Bridges,139.0,149.0,10.0,you think you know me you think you got everything under control no,you think you know me you think you got everything under control no, You think you know me? You think you got everything out of control? No.,you think you know me you think you got everything out of control no,0.15384615384615385,0.07462686567164178,13
Dark Ride - Burning Bridges,149.0,155.0,6.0,,, you,you,1.0,3.0,1
Dark Ride - Burning Bridges,155.0,162.0,7.0,,, you,you,1.0,3.0,1
Dark Ride - Burning Bridges,162.0,167.0,5.0,,,,,0.0,0.0,1
Dark Ride - Burning Bridges,167.0,173.0,6.0,oh,oh, Oh,oh,0.0,0.0,1
Dark Ride - Burning Bridges,173.0,182.0,9.0,oh oh,oh oh," Anyway, if you want to see my amazing hiking trip in Whammy fromいな We are going to go meet a hamster! Oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh.... lol",anyway if you want to see my amazing hiking trip in whammy fromいな we are going to go meet a hamster oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh lol,22.5,34.6,2
Dark Ride - Burning Bridges,182.0,193.0,11.0,oh and now im burning bridges fire in my soul burning,oh and now im burning bridges fire in my soul burning,,,1.0,1.0,11
Dark Ride - Burning Bridges,192.0,197.0,5.0,burning bridges forget about control,burning bridges forget about control," Burning bridges, forget about control",burning bridges forget about control,0.0,0.0,5
Dark Ride - Burning Bridges,197.0,205.0,8.0,burn those witches i am the only one to burn the bridges,burn those witches i am the only one to burn the bridges, I am the only one to burn the bridges I,i am the only one to burn the bridges i,0.3333333333333333,0.375,12
Dark Ride - Burning Bridges,205.0,216.0,11.0,i relied upon,i relied upon, I'll rely upon,ill rely upon,0.6666666666666666,0.38461538461538464,3
Dark Ride - Burning Bridges,216.0,226.0,10.0,burning bridges burn those witches oh,burning bridges burn those witches oh, firelly bridges doze for fire,firelly bridges doze for fire,0.8333333333333334,0.5945945945945946,6
Dark Ride - Burning Bridges,226.0,232.0,6.0,,, you,you,1.0,3.0,1
Dreamers Of The Ghetto - Heavy Love,0.0,10.0,10.0,,,,,0.0,0.0,1
Dreamers Of The Ghetto - Heavy Love,10.0,15.0,5.0,,,,,0.0,0.0,1
Dreamers Of The Ghetto - Heavy Love,15.0,23.0,8.0,,,,,0.0,0.0,1
Dreamers Of The Ghetto - Heavy Love,23.0,30.0,7.0,,, Thank you.,thank you,2.0,9.0,1
Dreamers Of The Ghetto - Heavy Love,30.0,39.0,9.0,,,,,0.0,0.0,1
Dreamers Of The Ghetto - Heavy Love,39.0,46.0,7.0,i know your voice,i know your voice, I know your voice,i know your voice,0.0,0.0,4
Dreamers Of The Ghetto - Heavy Love,46.0,53.0,7.0,i hear it from the depth of the voice,i hear it from the depth of the voice, I hear it from the depths of the void,i hear it from the depths of the void,0.2222222222222222,0.08108108108108109,9
Dreamers Of The Ghetto - Heavy Love,53.0,62.0,9.0,hu hu your leafs frequency,hu hu your leafs frequency," Ooh, your needs frequency",ooh your needs frequency,0.6,0.2692307692307692,5
Dreamers Of The Ghetto - Heavy Love,62.0,69.0,7.0,heart transmit before you as near,heart transmit before you as near, I'll transmit before you ask me,ill transmit before you ask me,0.5,0.2727272727272727,6
Dreamers Of The Ghetto - Heavy Love,69.0,77.0,8.0,hm id walk the wars,hm id walk the wars, Hmm. Hmm. I'd walk the walls.,hmm hmm id walk the walls,0.6,0.3684210526315789,5
Dreamers Of The Ghetto - Heavy Love,77.0,85.0,8.0,everything between us achee,everything between us achee," Everything between us, I see.",everything between us i see,0.5,0.1111111111111111,4
Dreamers Of The Ghetto - Heavy Love,85.0,92.0,7.0,do not be ashamed what you dream,do not be ashamed what you dream, Do not be ashamed what you dream,do not be ashamed what you dream,0.0,0.0,7
Dreamers Of The Ghetto - Heavy Love,92.0,97.0,5.0,dream when my love gets heavy babe,dream when my love gets heavy babe," Tree when my love gets heavy, baby",tree when my love gets heavy baby,0.2857142857142857,0.11764705882352941,7
Dreamers Of The Ghetto - Heavy Love,97.0,101.0,4.0,when my love gets heavy babe,when my love gets heavy babe," When my love gets heavy, baby",when my love gets heavy baby,0.16666666666666666,0.03571428571428571,6
Dreamers Of The Ghetto - Heavy Love,101.0,110.0,9.0,when my love ill be ill be looking out for,when my love ill be ill be looking out for," With my love, I'll be, I'll be looking out for",with my love ill be ill be looking out for,0.1,0.07142857142857142,10
Dreamers Of The Ghetto - Heavy Love,110.0,119.0,9.0,looking out for you looking out for you,looking out for you looking out for you," Looking out for you, looking out for you",looking out for you looking out for you,0.0,0.0,8
Dreamers Of The Ghetto - Heavy Love,119.0,126.0,7.0,ill be ill be looking out for,ill be ill be looking out for," I'll be, I'll be looking out for",ill be ill be looking out for,0.0,0.0,7
Dreamers Of The Ghetto - Heavy Love,126.0,135.0,9.0,looking out for you looking out for you,looking out for you looking out for you," Looking out for you, looking out for you",looking out for you looking out for you,0.0,0.0,8
Dreamers Of The Ghetto - Heavy Love,135.0,141.0,6.0,ill be when my love gets heavy babe,ill be when my love gets heavy babe, I'll be when my love gets heavy baby,ill be when my love gets heavy baby,0.125,0.02857142857142857,8
Dreamers Of The Ghetto - Heavy Love,141.0,150.0,9.0,when my love gets heavy babe when my love gets heavy babe,when my love gets heavy babe when my love gets heavy babe," When my love gets heavy, baby When my love gets heavy, baby",when my love gets heavy baby when my love gets heavy baby,0.16666666666666666,0.03508771929824561,12
Dreamers Of The Ghetto - Heavy Love,150.0,158.0,8.0,when my love gets heavy,when my love gets heavy, When my love gets heavy,when my love gets heavy,0.0,0.0,5
Dreamers Of The Ghetto - Heavy Love,158.0,166.0,8.0,i can hold it up as long as you come,i can hold it up as long as you come, I can hold it up as long as you come,i can hold it up as long as you come,0.0,0.0,10
Dreamers Of The Ghetto - Heavy Love,165.0,173.0,8.0,holing out the only only one,holing out the only only one," Only now the only, only one",only now the only only one,0.3333333333333333,0.2857142857142857,6
Dreamers Of The Ghetto - Heavy Love,173.0,183.0,10.0,you raise the lines between fear and fun aha,you raise the lines between fear and fun aha, You raise the light between fear and fun,you raise the light between fear and fun,0.2222222222222222,0.1590909090909091,9
Dreamers Of The Ghetto - Heavy Love,183.0,193.0,10.0,give up your love cause my love gets heavy babe,give up your love cause my love gets heavy babe," Give up your love, cause my love gets heavy baby",give up your love cause my love gets heavy baby,0.1,0.02127659574468085,10
Dreamers Of The Ghetto - Heavy Love,193.0,197.0,4.0,yeah my love gets heavy babe,yeah my love gets heavy babe," Yeah, my love gets heavy, baby",yeah my love gets heavy baby,0.16666666666666666,0.03571428571428571,6
Dreamers Of The Ghetto - Heavy Love,197.0,206.0,9.0,when my love ill be ill be looking out for,when my love ill be ill be looking out for," When my love, I'll be, I'll be looking out for",when my love ill be ill be looking out for,0.0,0.0,10
Dreamers Of The Ghetto - Heavy Love,206.0,215.0,9.0,looking out for you looking out for you,looking out for you looking out for you," Looking out for you, looking out for you",looking out for you looking out for you,0.0,0.0,8
Dreamers Of The Ghetto - Heavy Love,215.0,222.0,7.0,ill be ill be looking out for,ill be ill be looking out for," I'll be, I'll be looking out for",ill be ill be looking out for,0.0,0.0,7
Dreamers Of The Ghetto - Heavy Love,222.0,231.0,9.0,looking out for you looking out for you,looking out for you looking out for you," Looking out for you, looking out for you",looking out for you looking out for you,0.0,0.0,8
Dreamers Of The Ghetto - Heavy Love,231.0,238.0,7.0,ill be ill be looking out for,ill be ill be looking out for," I'll be, I'll be looking out for",ill be ill be looking out for,0.0,0.0,7
Dreamers Of The Ghetto - Heavy Love,238.0,247.0,9.0,looking out for you looking out for you,looking out for you looking out for you," Looking out for you, looking out for you",looking out for you looking out for you,0.0,0.0,8
Dreamers Of The Ghetto - Heavy Love,247.0,254.0,7.0,ill be ill be looking out for,ill be ill be looking out for," I'll be, I'll be looking out for",ill be ill be looking out for,0.0,0.0,7
Dreamers Of The Ghetto - Heavy Love,254.0,263.0,9.0,looking out for you looking out for you,looking out for you looking out for you," Looking out for you, looking out for you",looking out for you looking out for you,0.0,0.0,8
Dreamers Of The Ghetto - Heavy Love,263.0,269.0,6.0,ill be when my love gets heavy babe,ill be when my love gets heavy babe," I'll be when my love gets heavy, baby",ill be when my love gets heavy baby,0.125,0.02857142857142857,8
Dreamers Of The Ghetto - Heavy Love,269.0,273.0,4.0,cause my love gets heavy babe,cause my love gets heavy babe, Cause my love gets heavy baby,cause my love gets heavy baby,0.16666666666666666,0.034482758620689655,6
Dreamers Of The Ghetto - Heavy Love,273.0,281.0,8.0,when my love gets heavy babe my love gets heavy babe,when my love gets heavy babe my love gets heavy babe," When my love gets heavy, baby Cause my love gets heavy, baby",when my love gets heavy baby cause my love gets heavy baby,0.2727272727272727,0.1346153846153846,11
Dreamers Of The Ghetto - Heavy Love,281.0,288.0,7.0,when my love my love,when my love my love, With my love,with my love,0.6,0.55,5
Drumtracks - Ghost Bitch,0.0,10.0,10.0,,, you,you,1.0,3.0,1
Drumtracks - Ghost Bitch,10.0,16.0,6.0,,, you,you,1.0,3.0,1
Drumtracks - Ghost Bitch,16.0,23.0,7.0,,, you,you,1.0,3.0,1
Drumtracks - Ghost Bitch,23.0,30.0,7.0,uh,uh,,,1.0,1.0,1
Drumtracks - Ghost Bitch,29.0,35.0,6.0,uh,uh,,,1.0,1.0,1
Drumtracks - Ghost Bitch,35.0,42.0,7.0,uh,uh,,,1.0,1.0,1
Drumtracks - Ghost Bitch,42.0,48.0,6.0,uh,uh, AHis,ahis,1.0,1.5,1
Drumtracks - Ghost Bitch,47.0,53.0,6.0,did you hear its rambling next to me,did you hear its rambling next to me, Did you hear it's rumbling next to me?,did you hear its rumbling next to me,0.125,0.027777777777777776,8
Drumtracks - Ghost Bitch,53.0,60.0,7.0,slowly and viscous it flows along your custardy at,slowly and viscous it flows along your custardy at, Slowly and viscous it flows along your custody at night,slowly and viscous it flows along your custody at night,0.2222222222222222,0.16,9
Drumtracks - Ghost Bitch,59.0,65.0,6.0,at night it becomes visible strange matter flying around,at night it becomes visible strange matter flying around," At night it becomes visible, strange matter flying around.",at night it becomes visible strange matter flying around,0.0,0.0,9
Drumtracks - Ghost Bitch,65.0,71.0,6.0,feel the touch over ten feel its cold and sorrow,feel the touch over ten feel its cold and sorrow," Feel the touch of its hand, feel its cold and sorrow",feel the touch of its hand feel its cold and sorrow,0.3,0.16666666666666666,10
Drumtracks - Ghost Bitch,71.0,80.0,9.0,everyone else tries to,everyone else tries to, Everyone else tries to,everyone else tries to,0.0,0.0,4
Drumtracks - Ghost Bitch,79.0,84.0,5.0,to take care,to take care, to take care of it.,to take care of it,0.6666666666666666,0.5,3
Drumtracks - Ghost Bitch,83.0,92.0,9.0,everyone else tries to,everyone else tries to, everyone else tries to,everyone else tries to,0.0,0.0,4
Drumtracks - Ghost Bitch,91.0,102.0,11.0,to take care its a ghost like a witch eaten up our hate,to take care its a ghost like a witch eaten up our hate," to take care. It's a ghost like a witch, she'd not buy hate.",to take care its a ghost like a witch shed not buy hate,0.23076923076923078,0.16363636363636364,13
Drumtracks - Ghost Bitch,101.0,111.0,10.0,cant defy its faith its a ghost bitch its a ghost like a witch,cant defy its faith its a ghost bitch its a ghost like a witch," Can't defy its fate, it's a girl who wants bitch It's a girl, snarky witch",cant defy its fate its a girl who wants bitch its a girl snarky witch,0.5,0.3548387096774194,14
Drumtracks - Ghost Bitch,110.0,121.0,11.0,eaten up our hate cant defy its faith its a ghost bitch,eaten up our hate cant defy its faith its a ghost bitch," I hate. I hate. Can't defy its fate. It's a go, wo, wo, wo. Bitch, oh.",i hate i hate cant defy its fate its a go wo wo wo bitch oh,0.75,0.43636363636363634,12
Drumtracks - Ghost Bitch,120.0,125.0,5.0,all what we fear,all what we fear, It's all why we fear,its all why we fear,0.5,0.375,4
Drumtracks - Ghost Bitch,125.0,132.0,7.0,my stomach turned to ice its a,my stomach turned to ice its a, My stomach turned to ice It's a,my stomach turned to ice its a,0.0,0.0,7
Drumtracks - Ghost Bitch,131.0,138.0,7.0,its ice staving in disbelieve,its ice staving in disbelieve," It's I, Stepping in disbelief",its i stepping in disbelief,0.6,0.2413793103448276,5
Drumtracks - Ghost Bitch,138.0,144.0,6.0,caught up in all eternity,caught up in all eternity, God have been our eternity.,god have been our eternity,0.8,0.56,5
Drumtracks - Ghost Bitch,143.0,149.0,6.0,all what we fear,all what we fear, Oh why we fear,oh why we fear,0.5,0.3125,4
Drumtracks - Ghost Bitch,149.0,156.0,7.0,my stomach turned to ice its a,my stomach turned to ice its a, My stomach turned to ice It's a,my stomach turned to ice its a,0.0,0.0,7
Drumtracks - Ghost Bitch,155.0,163.0,8.0,its ice staving in disbelieve,its ice staving in disbelieve, since I was stepping in disbelief.,since i was stepping in disbelief,1.0,0.4482758620689655,5
Drumtracks - Ghost Bitch,164.0,173.0,9.0,were sliding into silence havent i hasnt anyone seen,were sliding into silence havent i hasnt anyone seen," We're sliding into silence Heaven, I hasn't anyone seen",were sliding into silence heaven i hasnt anyone seen,0.1111111111111111,0.038461538461538464,9
Drumtracks - Ghost Bitch,173.0,179.0,6.0,the way she walks how she looks how she talks to me,the way she walks how she looks how she talks to me," The way she walks, how she looks, how she talks to me",the way she walks how she looks how she talks to me,0.0,0.0,12
Drumtracks - Ghost Bitch,179.0,185.0,6.0,every night the born its light keeps shining,every night the born its light keeps shining, Every night the bonnet's light keeps shining.,every night the bonnets light keeps shining,0.25,0.06818181818181818,8
Drumtracks - Ghost Bitch,185.0,191.0,6.0,suddenly she stands in front of them behind me,suddenly she stands in front of them behind me, Suddenly she stands in front of them behind me,suddenly she stands in front of them behind me,0.0,0.0,9
Drumtracks - Ghost Bitch,191.0,200.0,9.0,everyone else tries to,everyone else tries to, Everyone else tries to,everyone else tries to,0.0,0.0,4
Drumtracks - Ghost Bitch,199.0,204.0,5.0,to take care,to take care, to take care of it.,to take care of it,0.6666666666666666,0.5,3
Drumtracks - Ghost Bitch,203.0,210.0,7.0,everyone else,everyone else, everyone else tru,everyone else tru,0.5,0.3076923076923077,2
Drumtracks - Ghost Bitch,209.0,215.0,6.0,tries to take care,tries to take care, Tries to take care,tries to take care,0.0,0.0,4
Drumtracks - Ghost Bitch,215.0,222.0,7.0,shes a ghost like a witch eaten up our hate,shes a ghost like a witch eaten up our hate," She's a ghost like a witch, Sheaten up by H. C-",shes a ghost like a witch sheaten up by h c,0.4,0.18604651162790697,10
Drumtracks - Ghost Bitch,221.0,227.0,6.0,cant defy her fail shes a ghost bitch,cant defy her fail shes a ghost bitch," She can't defy her faggot, she's a go-wos bitch",she cant defy her faggot shes a gowos bitch,0.375,0.2972972972972973,8
Drumtracks - Ghost Bitch,227.0,234.0,7.0,shes a ghost like a witch eaten up our hate,shes a ghost like a witch eaten up our hate," She's a ghost like a witch, eaten up by hate.",shes a ghost like a witch eaten up by hate,0.1,0.06976744186046512,10
Drumtracks - Ghost Bitch,233.0,241.0,8.0,cant defy her faith shes a ghost bitch,cant defy her faith shes a ghost bitch,,,1.0,1.0,8
Drumtracks - Ghost Bitch,240.0,245.0,5.0,oh while we fear,oh while we fear, All by with fear,all by with fear,0.75,0.6875,4
Drumtracks - Ghost Bitch,245.0,252.0,7.0,my stomach turned to ice its a,my stomach turned to ice its a, My stomach turned to ice It's a,my stomach turned to ice its a,0.0,0.0,7
Drumtracks - Ghost Bitch,251.0,258.0,7.0,its ice staving in disbelieve,its ice staving in disbelieve," It's I, Stepping in disbelief",its i stepping in disbelief,0.6,0.2413793103448276,5
Drumtracks - Ghost Bitch,258.0,264.0,6.0,caught up in all eternity,caught up in all eternity, God have been our eternity.,god have been our eternity,0.8,0.56,5
Drumtracks - Ghost Bitch,263.0,269.0,6.0,oh while we fear,oh while we fear, Oh why we fear,oh why we fear,0.25,0.1875,4
Drumtracks - Ghost Bitch,268.0,276.0,8.0,my stomach turned to ice its a,my stomach turned to ice its a, My stomach turned to ice It's a-,my stomach turned to ice its a,0.0,0.0,7
Drumtracks - Ghost Bitch,275.0,283.0,8.0,its ice staving in disbelieve,its ice staving in disbelieve," It's eyes, stabbing in disbelief.",its eyes stabbing in disbelief,0.6,0.2413793103448276,5
Drumtracks - Ghost Bitch,283.0,288.0,5.0,were sliding into silence,were sliding into silence, We're sliding into silence.,were sliding into silence,0.0,0.0,4
Drumtracks - Ghost Bitch,288.0,294.0,6.0,oh while we fear,oh while we fear, Oh why we fear my...,oh why we fear my,0.5,0.375,4
Drumtracks - Ghost Bitch,294.0,300.0,6.0,my stomach turned to ice,my stomach turned to ice,,,1.0,1.0,5
Drumtracks - Ghost Bitch,300.0,307.0,7.0,its ice staving in disbelieve,its ice staving in disbelieve, It's I stepping in disbelief,its i stepping in disbelief,0.6,0.2413793103448276,5
Drumtracks - Ghost Bitch,306.0,312.0,6.0,caught up in all eternity,caught up in all eternity, God have been all eternity.,god have been all eternity,0.6,0.44,5
Drumtracks - Ghost Bitch,311.0,318.0,7.0,oh while we fear,oh while we fear," Oh, why we fear?",oh why we fear,0.25,0.1875,4
Drumtracks - Ghost Bitch,317.0,325.0,8.0,my stomach turned to ice its i,my stomach turned to ice its i, My stomach turned to ice It's ice,my stomach turned to ice its ice,0.14285714285714285,0.06666666666666667,7
Drumtracks - Ghost Bitch,324.0,332.0,8.0,its ice staving in disbelieve,its ice staving in disbelieve," Its eyes, stabbing in disbelief",its eyes stabbing in disbelief,0.6,0.2413793103448276,5
Drumtracks - Ghost Bitch,332.0,339.0,7.0,were sliding into silence,were sliding into silence, We're sliding into silence,were sliding into silence,0.0,0.0,4
Drumtracks - Ghost Bitch,339.0,349.0,10.0,,, you,you,1.0,3.0,1
Faces On Film - Waiting For Ga,0.0,10.0,10.0,,,,,0.0,0.0,1
Faces On Film - Waiting For Ga,10.0,17.0,7.0,,, Thank you.,thank you,2.0,9.0,1
Faces On Film - Waiting For Ga,17.0,23.0,6.0,waiting for g a the day,waiting for g a the day, Waiting for G.A. today.,waiting for ga today,0.6666666666666666,0.17391304347826086,6
Faces On Film - Waiting For Ga,23.0,30.0,7.0,like many men i can behave,like many men i can behave, Like many men I can behave,like many men i can behave,0.0,0.0,6
Faces On Film - Waiting For Ga,36.0,41.0,5.0,cold but not without a home,cold but not without a home, Cold but not without a home,cold but not without a home,0.0,0.0,6
Faces On Film - Waiting For Ga,41.0,47.0,6.0,wee,wee, Wherna.,wherna,1.0,1.3333333333333333,1
Faces On Film - Waiting For Ga,47.0,53.0,6.0,wuhm,wuhm,,,1.0,1.0,1
Faces On Film - Waiting For Ga,53.0,59.0,6.0,wuhm,wuhm,,,1.0,1.0,1
Faces On Film - Waiting For Ga,59.0,66.0,7.0,wee,wee,,,1.0,1.0,1
Faces On Film - Waiting For Ga,65.0,72.0,7.0,so preach from that mountains loak,so preach from that mountains loak, So preach from that mountain slope.,so preach from that mountain slope,0.3333333333333333,0.11764705882352941,6
Faces On Film - Waiting For Ga,72.0,78.0,6.0,ill be on the path below,ill be on the path below, I'll be on the path below,ill be on the path below,0.0,0.0,6
Faces On Film - Waiting For Ga,78.0,88.0,10.0,but my body stays with g a thats the quietest,but my body stays with g a thats the quietest, But my body stays with GA That's the quietest,but my body stays with ga thats the quietest,0.2,0.022222222222222223,10
Faces On Film - Waiting For Ga,88.0,96.0,8.0,plane wee,plane wee, Please,please,1.0,0.5555555555555556,2
Faces On Film - Waiting For Ga,96.0,102.0,6.0,weeum,weeum, We Mmm,we mmm,2.0,0.6,1
Faces On Film - Waiting For Ga,102.0,108.0,6.0,wuhm,wuhm,,,1.0,1.0,1
Faces On Film - Waiting For Ga,108.0,115.0,7.0,wuhm,wuhm,,,1.0,1.0,1
Faces On Film - Waiting For Ga,115.0,122.0,7.0,uh uh uh,uh uh uh,,,1.0,1.0,3
Faces On Film - Waiting For Ga,122.0,128.0,6.0,uh uh,uh uh,,,1.0,1.0,2
Faces On Film - Waiting For Ga,128.0,134.0,6.0,uh uh,uh uh," with chaque, rout with chuk",with chaque rout with chuk,2.5,4.4,2
Faces On Film - Waiting For Ga,134.0,139.0,5.0,uh uh,uh uh,,,1.0,1.0,2
Faces On Film - Waiting For Ga,148.0,154.0,6.0,but not without a home and my body,but not without a home and my body," But no, without a home in my body",but no without a home in my body,0.25,0.08823529411764706,8
Faces On Film - Waiting For Ga,154.0,158.0,4.0,stays with g a that,stays with g a that, stays with GA that's,stays with ga thats,0.6,0.10526315789473684,5
Faces On Film - Waiting For Ga,157.0,162.0,5.0,thats the quietest play,thats the quietest play," That's the choir, it is played",thats the choir it is played,1.0,0.4782608695652174,4
Faces On Film - Waiting For Ga,161.0,171.0,10.0,plane ha,plane ha, Please,please,1.0,0.625,2
Faces On Film - Waiting For Ga,170.0,177.0,7.0,ha oh,ha oh,,,1.0,1.0,2
Faces On Film - Waiting For Ga,176.0,181.0,5.0,oh hu,oh hu,,,1.0,1.0,2
Faces On Film - Waiting For Ga,181.0,189.0,8.0,hu hu hu hu,hu hu hu hu,,,1.0,1.0,4
Faces On Film - Waiting For Ga,189.0,193.0,4.0,hu hu hu,hu hu hu,,,1.0,1.0,3
Faces On Film - Waiting For Ga,193.0,201.0,8.0,hu hu hu hu hu,hu hu hu hu hu,,,1.0,1.0,5
Faces On Film - Waiting For Ga,201.0,212.0,11.0,oh uh,oh uh, Do you have this new ad-medCH on Tylent and we'll need it soon? Right Summer I'll do,do you have this new admedch on tylent and well need it soon right summer ill do,8.5,15.2,2
Faces On Film - Waiting For Ga,212.0,219.0,7.0,oh uh,oh uh,,,1.0,1.0,2
Faces On Film - Waiting For Ga,219.0,225.0,6.0,uh,uh, gente retreat to the moment where they will will will,gente retreat to the moment where they will will will,10.0,26.0,1
Faces On Film - Waiting For Ga,225.0,236.0,11.0,uh uh,uh uh,,,1.0,1.0,2
Faces On Film - Waiting For Ga,236.0,244.0,8.0,uh,uh,,,1.0,1.0,1
Faces On Film - Waiting For Ga,244.0,255.0,11.0,hmm,hmm,,,1.0,1.0,1
Fergessen - Back From The Start,0.0,5.0,5.0,,,,,0.0,0.0,1
Fergessen - Back From The Start,5.0,11.0,6.0,back from the start,back from the start, Back from the start,back from the start,0.0,0.0,4
Fergessen - Back From The Start,10.0,17.0,7.0,in the way you are meaningful,in the way you are meaningful, In a way you are meaningful,in a way you are meaningful,0.16666666666666666,0.10344827586206896,6
Fergessen - Back From The Start,16.0,25.0,9.0,well now everythings okay for a night and a day but its been like ages of feeling speechless,well now everythings okay for a night and a day but its been like ages of feeling speechless, Well now everything's okay for a night and a day but it's been like ages of feeling speechless.,well now everythings okay for a night and a day but its been like ages of feeling speechless,0.0,0.0,18
Fergessen - Back From The Start,25.0,29.0,4.0,voiceless,voiceless, Voiceless.,voiceless,0.0,0.0,1
Fergessen - Back From The Start,29.0,35.0,6.0,constant content fierce and reason complete decide or how youd cheat it,constant content fierce and reason complete decide or how youd cheat it," Constant content, fears and reason, complete deceit, or how you cheated.",constant content fears and reason complete deceit or how you cheated,0.4166666666666667,0.15492957746478872,12
