chunk_path,Song,Start,End,Lyric,has_lyrics,augmented_from
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_98_104.wav,Skelpolu - Together Alone,98,104,oh girl,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_131_138.wav,Skelpolu - Together Alone,131,138,it is so much pain,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_142_150.wav,Skelpolu - Together Alone,142,150,it ain't fun anymore,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_198_206.wav,Skelpolu - Together Alone,198,206,i miss you,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_220_228.wav,Skelpolu - Together Alone,220,228,i miss you,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_241_250.wav,Skelpolu - Together Alone,241,250,i miss you,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_264_272.wav,Skelpolu - Together Alone,264,272,i miss you,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_287_293.wav,Skelpolu - Together Alone,287,293,i miss you,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_298_307.wav,Skelpolu - Together Alone,298,307,i miss you,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Skelpolu - Together Alone_307_316.wav,Skelpolu - Together Alone,307,316,i miss you,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_26_31.wav,Snowmine - Curfews,26,31,i might not earn it but it's what i deserve,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_31_36.wav,Snowmine - Curfews,31,36,i married hours into dusty papers,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_36_43.wav,Snowmine - Curfews,36,43,my friends in ink defend the way i think,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_47_52.wav,Snowmine - Curfews,47,52,you civil servant i'm not civil to serve,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_52_63.wav,Snowmine - Curfews,52,63,my rival head is out but i'm the loser keep on screaming till you say what you think,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_65_74.wav,Snowmine - Curfews,65,74,close your lips stop when you're ahead cause i've heard your,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_74_80.wav,Snowmine - Curfews,74,80,stories i have heard them all and there's no no need,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_80_89.wav,Snowmine - Curfews,80,89,no need for excuses when i've heard your stories i have heard them all,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_107_114.wav,Snowmine - Curfews,107,114,you lust for anywhere that's not your home,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_114_118.wav,Snowmine - Curfews,114,118,it's been a while since you left from the throne,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_118_126.wav,Snowmine - Curfews,118,126,i hear something this street is quivering,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_128_134.wav,Snowmine - Curfews,128,134,it sound like bodies learning bodies for sure,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_134_139.wav,Snowmine - Curfews,134,139,it sounds like us back in the basement after,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_139_146.wav,Snowmine - Curfews,139,146,the liquid loving judgement and the troubles,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_149_159.wav,Snowmine - Curfews,149,159,close your lips stop when you're ahead cause i've heard your stories i have heard them,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_159_168.wav,Snowmine - Curfews,159,168,all and there's no no need no need for excuses when i've heard your stories i have,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_168_178.wav,Snowmine - Curfews,168,178,heard them all wait you say you've lost yourself you wanna know why,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_178_186.wav,Snowmine - Curfews,178,186,cause you don't know anything,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_191_196.wav,Snowmine - Curfews,191,196,you don't know anything,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_211_220.wav,Snowmine - Curfews,211,220,uh ah ah ah,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_221_230.wav,Snowmine - Curfews,221,230,wait you say you've lost yourself you wanna know why,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_230_237.wav,Snowmine - Curfews,230,237,cause you don't know anything,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_237_242.wav,Snowmine - Curfews,237,242,you don't need anything,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Snowmine - Curfews_242_253.wav,Snowmine - Curfews,242,253,you don't know anything you don't need anything,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_36_42.wav,Spike Mullings - Mike's Sulking,36,42,another year and i'm still here,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_42_50.wav,Spike Mullings - Mike's Sulking,42,50,by all rights i should be away and in the clear,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_50_56.wav,Spike Mullings - Mike's Sulking,50,56,away and in the clear,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_56_60.wav,Spike Mullings - Mike's Sulking,56,60,hu shalala,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_60_66.wav,Spike Mullings - Mike's Sulking,60,66,it's all gone wrong i should be gone,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_66_74.wav,Spike Mullings - Mike's Sulking,66,74,sand all that should be left behinds this song hu shalala,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_74_83.wav,Spike Mullings - Mike's Sulking,74,83,left behind this song hu shalala hu shalala,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_83_91.wav,Spike Mullings - Mike's Sulking,83,91,cause i think there should be so much more to me,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_90_96.wav,Spike Mullings - Mike's Sulking,90,96,gritten shell but no pearl,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_96_103.wav,Spike Mullings - Mike's Sulking,96,103,i heard there could be more than this so much more,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_103_111.wav,Spike Mullings - Mike's Sulking,103,111,out in the world,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_111_116.wav,Spike Mullings - Mike's Sulking,111,116,uh shalala another day i'm going to uh shalala get away,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_234_240.wav,Spike Mullings - Mike's Sulking,234,240,another year an i'm still here,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Spike Mullings - Mike's Sulking_240_248.wav,Spike Mullings - Mike's Sulking,240,248,by all rights i should be away and in the clears,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_14_19.wav,St Vitus - Word Gets Around,14,19,last time i passed through this place,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_19_25.wav,St Vitus - Word Gets Around,19,25,i heard you were in town,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_25_32.wav,St Vitus - Word Gets Around,25,32,i'll keep pretty quiet now,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_32_37.wav,St Vitus - Word Gets Around,32,37,word still gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_37_43.wav,St Vitus - Word Gets Around,37,43,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_43_48.wav,St Vitus - Word Gets Around,43,48,they say you crossed the line again,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_48_55.wav,St Vitus - Word Gets Around,48,55,the facet in the whole world,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_54_60.wav,St Vitus - Word Gets Around,54,60,won't doubt the difference from the trees,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_60_66.wav,St Vitus - Word Gets Around,60,66,even if it could,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_66_73.wav,St Vitus - Word Gets Around,66,73,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_73_82.wav,St Vitus - Word Gets Around,73,82,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_90_96.wav,St Vitus - Word Gets Around,90,96,they shoot so many of this sky mirror crew,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_96_104.wav,St Vitus - Word Gets Around,96,104,down bloody tales with the wounds on view,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_104_110.wav,St Vitus - Word Gets Around,104,110,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_110_121.wav,St Vitus - Word Gets Around,110,121,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_127_131.wav,St Vitus - Word Gets Around,127,131,the final act is silence,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_131_138.wav,St Vitus - Word Gets Around,131,138,all shadow play and may,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_138_149.wav,St Vitus - Word Gets Around,138,149,nobody can remember when they got this much summer time,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_150_156.wav,St Vitus - Word Gets Around,150,156,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_156_165.wav,St Vitus - Word Gets Around,156,165,here and there the lost and found ma is,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_174_180.wav,St Vitus - Word Gets Around,174,180,and truth be told i'm acting strange,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_180_187.wav,St Vitus - Word Gets Around,180,187,i'm waiting till you're all in brange,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_187_193.wav,St Vitus - Word Gets Around,187,193,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_192_199.wav,St Vitus - Word Gets Around,192,199,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_204_210.wav,St Vitus - Word Gets Around,204,210,last time i passed through this place,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_210_216.wav,St Vitus - Word Gets Around,210,216,i thought i died of shame,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_216_222.wav,St Vitus - Word Gets Around,216,222,with you i hardly recognize,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_222_228.wav,St Vitus - Word Gets Around,222,228,myself i know my name,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/St Vitus - Word Gets Around_228_235.wav,St Vitus - Word Gets Around,228,235,word gets around,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_0_5.wav,Steven Clark - Bounty,0,5,down down down down down down,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_5_10.wav,Steven Clark - Bounty,5,10,down down down down down down,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_10_20.wav,Steven Clark - Bounty,10,20,ain't no sense in talking i'll just keep on walking she said i gotta pay the pain won't go away,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_20_31.wav,Steven Clark - Bounty,20,31,now everybody's calling asking where i've gone but i don't wanna say cause she ain't gonna wait,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_31_35.wav,Steven Clark - Bounty,31,35,when i'm gone away,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_35_41.wav,Steven Clark - Bounty,35,41,no one will worry,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_41_50.wav,Steven Clark - Bounty,41,50,cause she'll hunt for days till i'm dead and buried,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_50_60.wav,Steven Clark - Bounty,50,60,i can't get this bounty off my head that's right i'm marked for dead she can't forgive what i did to her won't stop until i,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_60_66.wav,Steven Clark - Bounty,60,66,bled can't get this bounty off my head that's right i'm marked for dead,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_66_73.wav,Steven Clark - Bounty,66,73,she can't forgive what i did to her one day she's gonna hunt me down,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_102_111.wav,Steven Clark - Bounty,102,111,when i'm gone away no one will worry,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_111_116.wav,Steven Clark - Bounty,111,116,cause she'll hunt for days,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_116_124.wav,Steven Clark - Bounty,116,124,till i'm dead and buried can't get this bounty off my head,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_124_129.wav,Steven Clark - Bounty,124,129,that's right i'm marked for dead she can't forgive what i did to her,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_129_134.wav,Steven Clark - Bounty,129,134,won't stop until i bled can't get this bounty off my head,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_134_139.wav,Steven Clark - Bounty,134,139,that's right i'm marked for dead she can't forgive what i did to her,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_139_146.wav,Steven Clark - Bounty,139,146,won't stop until i bled can't get this bounty off my head head head,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_146_156.wav,Steven Clark - Bounty,146,156,i can't get this bounty off my head head head i can't get this bounty off my head head head,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_156_164.wav,Steven Clark - Bounty,156,164,i can't get this bounty off my head one day she's gonna hunt me down down down down,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_164_172.wav,Steven Clark - Bounty,164,172,down down down down down down down down down,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_172_179.wav,Steven Clark - Bounty,172,179,down down down down down down down down down,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_179_186.wav,Steven Clark - Bounty,179,186,down down down,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_200_210.wav,Steven Clark - Bounty,200,210,can't get this bounty off my head that's right i'm marked for dead she can't forgive what i did to her,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_210_215.wav,Steven Clark - Bounty,210,215,won't stop until i bled can't get this bounty off my head,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_215_220.wav,Steven Clark - Bounty,215,220,that's right i'm marked for dead she can't forgive what i did to her,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_220_226.wav,Steven Clark - Bounty,220,226,won't stop until i bled can't get this bounty off my head head head,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_226_237.wav,Steven Clark - Bounty,226,237,i can't get this bounty off my head head head i can't get this bounty off my head head head,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Steven Clark - Bounty_237_245.wav,Steven Clark - Bounty,237,245,i can't get this bounty off my head one day she's gonna hunt me down down down down,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_21_30.wav,Strand Of Oaks - Spacestation,21,30,welcome to my new space station,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_32_42.wav,Strand Of Oaks - Spacestation,32,42,stay as long as you like it's a sad vocation,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_42_49.wav,Strand Of Oaks - Spacestation,42,49,and you leave me standing alone on the earth,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_49_55.wav,Strand Of Oaks - Spacestation,49,55,i realize that it just won't work,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_55_61.wav,Strand Of Oaks - Spacestation,55,61,and you leave me standing alone in the cold,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_61_66.wav,Strand Of Oaks - Spacestation,61,66,telling everybody that i just don't know,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_66_70.wav,Strand Of Oaks - Spacestation,66,70,and you wait just a little,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_70_78.wav,Strand Of Oaks - Spacestation,70,78,wait just a little you wait just a little too long,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_78_89.wav,Strand Of Oaks - Spacestation,78,89,and you wait just a little wait just a little you wait just a little too long,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_114_120.wav,Strand Of Oaks - Spacestation,114,120,why you gonna leave me stranded up here,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_120_126.wav,Strand Of Oaks - Spacestation,120,126,why you gonna leave me stranded up here,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_126_137.wav,Strand Of Oaks - Spacestation,126,137,why you gonna leave me stranded up here when the sunlight chased away,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_137_142.wav,Strand Of Oaks - Spacestation,137,142,when the sunlight chased away,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_142_150.wav,Strand Of Oaks - Spacestation,142,150,when the sunlight chased away,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_173_183.wav,Strand Of Oaks - Spacestation,173,183,welcome to my next big decision,TRUE,pitch+2
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks_augmented/vocals/pitch+2/Strand Of Oaks - Spacestation_185_194.wav,Strand Of Oaks - Spacestation,185,194,welcome to my next big decision,TRUE,pitch+2
